"","state","year","district","RepVotes","RepStatus","DemVotes","DemStatus","rep_votes_major_percent","dem_votes_major_percent","district_id","WinnerParty","TotalVotesMajor","vote_margin","winner_party","RepVotesMajorPercent","DemVotesMajorPercent"
"109","Florida",2020,"22",166553,"Challenger",235764,"Incumbent",41.4,58.6,"FL22","D",402317,0.17203101,"D",41.4,58.6
"110","Florida",2020,"23",158874,"Challenger",221239,"Incumbent",41.8,58.2,"FL23","D",380113,0.164069632,"D",41.8,58.2
"111","Florida",2020,"24",59084,"Challenger",218825,"Incumbent",21.26,78.74,"FL24","D",277909,0.574796066,"D",21.26,78.74
"112","Florida",2020,"25",0,"Incumbent",0,NA,100,0,"FL25","R",0,NA,"R",100,0
"113","Florida",2020,"26",177223,"Challenger",165407,"Incumbent",51.72,48.28,"FL26","R",342630,0.03448618,"R",51.72,48.28
"114","Florida",2020,"27",176141,"Challenger",166758,"Incumbent",51.37,48.63,"FL27","R",342899,0.027363743,"R",51.37,48.63
"115","Georgia",2020,"1",189457,"Incumbent",135238,"Challenger",58.35,41.65,"GA01","R",324695,0.166984401,NA,NA,NA
"116","Georgia",2020,"2",111620,"Challenger",161397,"Incumbent",40.88,59.12,"GA02","D",273017,0.18232198,NA,NA,NA
"117","Georgia",2020,"3",241526,"Incumbent",129792,"Challenger",65.05,34.95,"GA03","R",371318,0.300911887,NA,NA,NA
"118","Georgia",2020,"4",69393,"Challenger",278906,"Incumbent",19.92,80.08,"GA04","D",348299,0.601532017,NA,NA,NA
"119","Georgia",2020,"5",52646,"Challenger",301857,"Challenger",14.85,85.15,"GA05","D",354503,0.702986999,NA,NA,NA
"120","Georgia",2020,"6",180329,"Challenger",216775,"Incumbent",45.41,54.59,"GA06","D",397104,0.091779483,NA,NA,NA
"121","Georgia",2020,"7",180564,"Challenger",190900,"Challenger",48.61,51.39,"GA07","D",371464,0.027825038,NA,NA,NA
"122","Georgia",2020,"8",198701,"Incumbent",109264,"Challenger",64.52,35.48,"GA08","R",307965,0.290412872,NA,NA,NA
"123","Georgia",2020,"9",292750,"Challenger",79797,"Challenger",78.58,21.42,"GA09","R",372547,0.571613783,NA,NA,NA
"124","Georgia",2020,"10",235810,"Incumbent",142636,"Challenger",62.31,37.69,"GA10","R",378446,0.246201572,"R",62.31,37.69
"125","Georgia",2020,"11",245259,"Incumbent",160623,"Challenger",60.43,39.57,"GA11","R",405882,0.20852366,"R",60.43,39.57
"126","Georgia",2020,"12",181038,"Incumbent",129061,"Challenger",58.38,41.62,"GA12","R",310099,0.167614214,"R",58.38,41.62
"127","Georgia",2020,"13",81476,"Challenger",279045,"Incumbent",22.6,77.4,"GA13","D",360521,0.548009686,"D",22.6,77.4
"128","Georgia",2020,"14",229827,"Challenger",77798,"Challenger",74.71,25.29,"GA14","R",307625,0.494202357,"R",74.71,25.29
"129","Hawaii",2020,"1",71188,"Challenger",183245,"Incumbent",27.98,72.02,"HI01","D",254433,0.440418499,NA,NA,NA
"130","Hawaii",2020,"2",84027,"Challenger",171517,"Challenger",32.88,67.12,"HI02","D",255544,0.342367655,NA,NA,NA
"131","Idaho",2020,"1",310736,"Incumbent",131380,"Challenger",70.28,29.72,"ID01","R",442116,0.405676338,NA,NA,NA
"132","Idaho",2020,"2",250669,"Incumbent",124151,"Challenger",66.88,33.12,"ID02","R",374820,0.337543354,NA,NA,NA
"133","Illinois",2020,"1",85027,"Challenger",239943,"Incumbent",26.16,73.84,"IL01","D",324970,0.476708619,NA,NA,NA
"134","Illinois",2020,"2",63142,"Challenger",234896,"Incumbent",21.19,78.81,"IL02","D",298038,0.576282219,NA,NA,NA
"135","Illinois",2020,"3",133851,"Challenger",172997,"Challenger",43.62,56.38,"IL03","D",306848,0.127574565,NA,NA,NA
"136","Illinois",2020,"4",35518,"Challenger",187219,"Incumbent",15.95,84.05,"IL04","D",222737,0.681076786,NA,NA,NA
"137","Illinois",2020,"5",96200,"Challenger",255661,"Incumbent",27.34,72.66,"IL05","D",351861,0.453193164,NA,NA,NA
"138","Illinois",2020,"6",183891,"Challenger",213777,"Incumbent",46.24,53.76,"IL06","D",397668,0.075153143,NA,NA,NA
"139","Illinois",2020,"7",41390,"Challenger",249383,"Incumbent",14.23,85.77,"IL07","D",290773,0.715310569,NA,NA,NA
"140","Illinois",2020,"8",0,NA,186251,"Incumbent",0,100,"IL08","D",186251,0.633145594,NA,NA,NA
"141","Illinois",2020,"9",107125,"Challenger",262045,"Incumbent",29.02,70.98,"IL09","D",369170,0.419644066,NA,NA,NA
"142","Illinois",2020,"10",114442,"Challenger",202402,"Incumbent",36.12,63.88,"IL10","D",316844,0.277612958,"D",36.12,63.88
"143","Illinois",2020,"11",112807,"Challenger",194557,"Incumbent",36.7,63.3,"IL11","D",307364,0.265971291,"D",36.7,63.3
"144","Illinois",2020,"12",194839,"Incumbent",127577,"Challenger",60.43,39.57,"IL12","R",322416,0.208618679,"R",60.43,39.57
"145","Illinois",2020,"13",181373,"Incumbent",151648,"Challenger",54.46,45.54,"IL13","R",333021,0.089258635,"R",54.46,45.54
"146","Illinois",2020,"14",197835,"Challenger",203209,"Incumbent",49.33,50.67,"IL14","D",401044,0.013400026,"D",49.33,50.67
"147","Illinois",2020,"15",244947,"Challenger",88559,"Challenger",73.45,26.55,"IL15","R",333506,0.468921099,"R",73.45,26.55
"148","Illinois",2020,"16",218839,"Incumbent",119313,"Challenger",64.72,35.28,"IL16","R",338152,0.294323263,"R",64.72,35.28
"149","Illinois",2020,"17",143863,"Challenger",156011,"Incumbent",47.97,52.03,"IL17","D",299874,0.040510348,"D",47.97,52.03
"150","Illinois",2020,"18",261840,"Incumbent",110039,"Challenger",70.41,29.59,"IL18","R",371879,0.408199979,"R",70.41,29.59
"151","Indiana",2020,"1",132247,"Challenger",185180,"Challenger",41.66,58.34,"IN01","D",317427,0.166756451,NA,NA,NA
"152","Indiana",2020,"2",183601,"Incumbent",114967,"Challenger",61.49,38.51,"IN02","R",298568,0.229877281,NA,NA,NA
"153","Indiana",2020,"3",220989,"Incumbent",104762,"Challenger",67.84,32.16,"IN03","R",325751,0.356797063,NA,NA,NA
"154","Indiana",2020,"4",225531,"Incumbent",112984,"Challenger",66.62,33.38,"IN04","R",338515,0.332472712,NA,NA,NA
"155","Indiana",2020,"5",208212,"Challenger",191226,"Challenger",52.13,47.87,"IN05","R",399438,0.042524747,NA,NA,NA
