"","state","st_fips","district","cd_fips","st_cd_fips","cpvi","incumbent","cand"
"252","Florida","12","20","20","1220","D+25",1,"Sheila Cherfilus-McCormick"
"253","Florida","12","20","20","1220","D+25",0,"Drew Montez Clark"
"254","Florida","12","21","21","1221","R+7",0,"Corinna Balderramos Robinson"
"255","Florida","12","21","21","1221","R+7",0,"Brian Mast"
"256","Florida","12","22","22","1222","D+7",0,"Lois Frankel"
"257","Florida","12","22","22","1222","D+7",0,"Daniel Franzese"
"258","Florida","12","23","23","1223","D+5",0,"Joe Budd"
"259","Florida","12","23","23","1223","D+5",0,"Jared Moskowitz"
"260","Florida","12","23","23","1223","D+5",0,"Mark Napier"
"261","Florida","12","23","23","1223","D+5",0,"Christine Scott"
"262","Florida","12","24","24","1224","D+25",0,"Jesus Navarro"
"263","Florida","12","24","24","1224","D+25",1,"Frederica Wilson"
"264","Florida","12","25","25","1225","D+9",0,"Carla Spalding"
"265","Florida","12","25","25","1225","D+9",0,"Debbie Wasserman Schultz"
"266","Florida","12","26","26","1226","R+8",0,"Mario Díaz-Balart"
"267","Florida","12","26","26","1226","R+8",0,"Christine Olivo"
"268","Florida","12","27","27","1227","EVEN",1,"María Elvira Salazar"
"269","Florida","12","27","27","1227","EVEN",0,"Annette Taddeo"
"270","Florida","12","28","28","1228","R+2",0,"Robert Asencio"
"271","Florida","12","28","28","1228","R+2",0,"Carlos A. Giménez"
"272","Georgia","13","1","01","1301","R+9",1,"Buddy Carter"
"273","Georgia","13","1","01","1301","R+9",0,"Wade Herring"
"274","Georgia","13","2","02","1302","D+3",1,"Sanford Bishop"
"275","Georgia","13","2","02","1302","D+3",0,"Chris West"
"276","Georgia","13","3","03","1303","R+18",0,"Val Almonord"
"277","Georgia","13","3","03","1303","R+18",1,"Drew Ferguson"
"278","Georgia","13","4","04","1304","D+27",0,"Jonathan Chavez"
"279","Georgia","13","4","04","1304","D+27",1,"Hank Johnson"
"280","Georgia","13","5","05","1305","D+32",1,"Nikema Williams"
"281","Georgia","13","5","05","1305","D+32",0,"Christian Zimm"
"282","Georgia","13","6","06","1306","R+11",0,"Bob Christian"
"283","Georgia","13","6","06","1306","R+11",0,"Rich McCormick"
"284","Georgia","13","7","07","1307","D+10",0,"Mark Gonsalves"
"285","Georgia","13","7","07","1307","D+10",0,"Lucy McBath"
"286","Georgia","13","7","07","1307","D+10",0,"Mark Gonsalves"
"287","Georgia","13","7","07","1307","D+10",0,"Lucy McBath"
"288","Georgia","13","8","08","1308","R+16",0,"Darrius Butler"
"289","Georgia","13","8","08","1308","R+16",1,"Austin Scott"
"290","Georgia","13","9","09","1309","R+22",1,"Andrew Clyde"
"291","Georgia","13","9","09","1309","R+22",0,"Mike Ford"
"292","Georgia","13","10","10","1310","R+15",0,"Mike Collins"
"293","Georgia","13","10","10","1310","R+15",0,"Tabitha Johnson-Green"
"294","Georgia","13","11","11","1311","R+11",0,"Antonio Daza-Fernandez"
"295","Georgia","13","11","11","1311","R+11",1,"Barry Loudermilk"
"296","Georgia","13","12","12","1312","R+8",1,"Rick W. Allen"
"297","Georgia","13","12","12","1312","R+8",0,"Liz Johnson"
"298","Georgia","13","13","13","1313","D+28",0,"Caesar Gonzales"
"299","Georgia","13","13","13","1313","D+28",1,"David Scott"
"300","Georgia","13","14","14","1314","R+22",0,"Marcus Flowers"
"301","Georgia","13","14","14","1314","R+22",1,"Marjorie Taylor Greene"
"302","Hawaii","15","1","01","1501","D+14",1,"Ed Case"
"303","Hawaii","15","1","01","1501","D+14",0,"Conrad Kress"
"304","Hawaii","15","2","02","1502","D+14",0,"Joe Akana"
"305","Hawaii","15","2","02","1502","D+14",0,"Michelle Tippens"
"306","Hawaii","15","2","02","1502","D+14",0,"Jill Tokuda"
"307","Idaho","16","1","01","1601","R+22",0,"Darian Drake"
"308","Idaho","16","1","01","1601","R+22",1,"Russ Fulcher"
"309","Idaho","16","1","01","1601","R+22",0,"Kaylee Peterson"
"310","Idaho","16","2","02","1602","R+14",0,"Wendy Norman"
"311","Idaho","16","2","02","1602","R+14",1,"Mike Simpson"
"312","Illinois","17","1","01","1701","D+20",0,"Eric Carlson"
"313","Illinois","17","1","01","1701","D+20",0,"Jonathan Jackson"
"314","Illinois","17","1","01","1701","D+20",0,"Babette Peyton"
