"","state","year","district","RepVotes","RepStatus","DemVotes","DemStatus","rep_votes_major_percent","dem_votes_major_percent","district_id","WinnerParty","TotalVotesMajor","vote_margin"
"232","Missouri",2020,"7",254318,"Incumbent",98111,"Challenger",72.16,27.84,"MO07","R",352429,0.4432297
"233","Missouri",2020,"8",253811,"Incumbent",70561,"Challenger",78.25,21.75,"MO08","R",324372,0.564937787
"234","Montana",2020,"AL",339169,"Challenger",262340,"Challenger",56.39,43.61,"MT00","R",601509,0.1277271
"235","Nebraska",2020,"1",189006,"Incumbent",119622,"Challenger",61.24,38.76,"NE01","R",308628,0.22481434
"236","Nebraska",2020,"2",171071,"Incumbent",155706,"Challenger",52.35,47.65,"NE02","R",326777,0.047019833
"237","Nebraska",2020,"3",225157,"Incumbent",50690,"Challenger",81.62,18.38,"NE03","R",275847,0.632477424
"238","Nevada",2020,"1",74490,"Challenger",137868,"Incumbent",35.08,64.92,"NV01","D",212358,0.298448846
"239","Nevada",2020,"2",216078,"Incumbent",155780,"Challenger",58.11,41.89,"NV02","R",371858,0.162153295
"240","Nevada",2020,"3",190975,"Challenger",203421,"Incumbent",48.42,51.58,"NV03","D",394396,0.031557115
"241","Nevada",2020,"4",152284,"Challenger",168457,"Incumbent",47.48,52.52,"NV04","D",320741,0.050423862
"242","New Hampshire",2020,"1",185159,"Challenger",205606,"Incumbent",47.38,52.62,"NH01","D",390765,0.052325567
"243","New Hampshire",2020,"2",168886,"Challenger",208289,"Incumbent",44.78,55.22,"NH02","D",377175,0.104468748
"244","New Jersey",2020,"1",144463,"Challenger",240567,"Incumbent",37.52,62.48,"NJ01","D",385030,0.24960133
"245","New Jersey",2020,"2",195526,"Incumbent",173849,"Challenger",52.93,47.07,"NJ02","R",369375,0.058685618
